payment_id,trip_id,customer_id,amount,currency,payment_method,payment_status,paid_at,transaction_ref,created_at
PAY000000032,6f9b24cc-76dd-4f82-b541-063d183cfe05,CUS0001628,,USD,CARD,PENDING,,TXN-000000000032,2018-11-28 09:57:36
PAY000000033,28d64691-fa3e-4ea2-aea5-3246ecca274c,CUS0000237,13.5,USD,CARD,PAID,2018-11-27 00:23:14,TXN-000000000033,2018-11-27 00:01:14
PAY000000034,a98e6c34-66b1-4efd-ad02-dedd13a0697a,CUS0003604,,USD,CARD,PENDING,,TXN-000000000034,2018-11-28 19:53:10
PAY000000035,82e7a60d-e7b6-4e89-95e6-6acdd14eb229,CUS0004421,15.0,USD,CASH,PAID,2018-12-15 19:45:15,TXN-000000000035,2018-12-15 18:45:15
PAY000000036,ebbb2d71-9876-46bc-893e-e0df231fdbba,CUS0005732,8.5,USD,CARD,PAID,2018-12-18 07:18:07,TXN-000000000036,2018-12-18 07:01:07
PAY000000037,2f1a3036-02f1-43d5-9b66-5937ac65c3a4,CUS0002926,0.0,USD,BANK_TRANSFER,CANCELLED,,TXN-000000000037,2018-12-02 08:51:57
PAY000000038,b6772404-cd78-4051-9d54-266b8a28f9e1,CUS0002840,,USD,CARD,PENDING,,TXN-000000000038,2018-12-17 12:31:06
PAY000000039,03088f55-0365-459f-af1e-e9bac04f48c3,CUS0004587,13.5,USD,CARD,PAID,2018-12-14 06:59:10,TXN-000000000039,2018-12-14 06:30:10
PAY000000040,b39043d4-7e95-4750-be7f-a31a2af5b872,CUS0007002,13.5,USD,WALLET,PAID,2018-11-28 14:58:10,TXN-000000000040,2018-11-28 14:07:10
PAY000000041,a32fa17a-8865-4310-9b04-abc62cbe5851,CUS0003355,,USD,CARD,PENDING,,TXN-000000000041,2018-11-27 03:40:22
PAY000000042,9a0852c1-35a5-4d10-9b08-8c92c590533b,CUS0005432,15.0,USD,CARD,PAID,2018-11-26 14:24:10,TXN-000000000042,2018-11-26 13:58:10
PAY000000043,ef70b218-d4a6-4636-8301-df12e9a9354f,CUS0002324,7.0,USD,CARD,PAID,2018-12-02 16:18:02,TXN-000000000043,2018-12-02 15:09:02
PAY000000044,c7bdadd6-7d11-4b30-aa20-6980318b9ee6,CUS0004548,9.5,USD,CARD,PAID,2018-11-30 06:30:03,TXN-000000000044,2018-11-30 05:04:03
PAY000000045,99c435e3-5aad-492b-be9c-604fc8909ee1,CUS0007834,10.5,USD,WALLET,PAID,2018-12-01 00:40:57,TXN-000000000045,2018-11-30 22:56:57
PAY000000046,4b907a7b-909e-4227-97c6-f7db563b1765,CUS0007437,0.0,USD,CARD,CANCELLED,,TXN-000000000046,2018-12-16 13:12:04
PAY000000047,73563a15-2efd-43c1-9b26-4a03ee81c23d,CUS0008596,19.5,USD,CARD,PAID,2018-11-27 06:44:22,TXN-000000000047,2018-11-27 05:31:22
PAY000000048,d5f44f00-2f3c-443c-bb44-c2aa6c3a9b8b,CUS0001998,35.0,USD,CARD,PAID,2018-12-13 10:16:10,TXN-000000000048,2018-12-13 08:32:10
PAY000000049,deb18bad-b0bc-41e1-902e-d5a47775addd,CUS0007878,34.0,USD,CARD,PAID,2018-12-03 00:55:03,TXN-000000000049,2018-12-03 00:20:03
PAY000000050,8b77f505-234a-4cdf-bfa2-3e432d2c75d4,CUS0000593,9.0,USD,CASH,PAID,2018-12-13 13:58:12,TXN-000000000050,2018-12-13 13:51:12
PAY000000051,d8a9f631-0363-42c2-aaa4-cec772e9e2d7,CUS0005819,,USD,CARD,PENDING,,TXN-000000000051,2018-12-10 02:55:03
PAY000000052,819909f9-d92f-4d17-8cef-5ae73c77cc31,CUS0007296,16.0,USD,CASH,PAID,2018-12-14 06:46:05,TXN-000000000052,2018-12-14 05:33:05
PAY000000053,ae2d65dc-4adb-45f9-8820-d87ca8082bf8,CUS0005872,5.0,USD,CARD,PAID,2018-12-03 16:57:57,TXN-000000000053,2018-12-03 16:00:57
PAY000000054,fff29e0c-8b54-4239-992d-acfa4febb988,CUS0008249,8.5,USD,CARD,PAID,2018-11-29 15:30:03,TXN-000000000054,2018-11-29 14:18:03
PAY000000055,576b0685-fa98-41e0-8c96-d8597c5bb2b6,CUS0004726,22.5,USD,CARD,PAID,2018-11-29 15:32:58,TXN-000000000055,2018-11-29 15:13:58
PAY000000056,21dcdb0b-239c-45af-9bc2-ad88679cf65b,CUS0000882,0.0,USD,WALLET,CANCELLED,,TXN-000000000056,2018-12-09 23:28:47
PAY000000057,e70f6392-d907-4682-bb09-ea47ac72026b,CUS0000830,16.5,USD,WALLET,PAID,2018-12-14 14:40:10,TXN-000000000057,2018-12-14 14:40:10
PAY000000058,b79f98b9-04e0-4369-87c3-980e27056939,CUS0007336,0.0,USD,CARD,CANCELLED,,TXN-000000000058,2018-12-03 17:14:58
PAY000000059,e125d182-eb02-4300-aeda-02b163ba6915,CUS0005562,22.5,USD,CARD,PAID,2018-12-03 00:01:00,TXN-000000000059,2018-12-02 23:47:00
PAY000000060,0ad71512-6e32-4af3-a47a-55e1c625c979,CUS0003067,29.5,USD,CARD,PAID,2018-11-28 14:59:07,TXN-000000000060,2018-11-28 13:18:07
PAY000000061,c70ab76e-4c8e-4ad1-85a9-a9925605dd46,CUS0000384,29.5,USD,CARD,PAID,2018-11-30 19:24:57,TXN-000000000061,2018-11-30 17:43:57
PAY000000062,2ac97dea-db71-443f-b655-12e8f55009d0,CUS0006118,5.0,USD,CARD,PAID,2018-11-29 02:41:09,TXN-000000000062,2018-11-29 02:42:09
PAY000000063,0e6fa314-7f8c-4160-8b39-5973f841dc87,CUS0004802,26.5,USD,BANK_TRANSFER,PAID,2018-11-29 03:10:21,TXN-000000000063,2018-11-29 02:53:21
PAY000000064,01bb87b7-e7cd-4b93-8ca6-e4b31c301d1e,CUS0008715,8.0,USD,CARD,PAID,2018-12-18 15:57:11,TXN-000000000064,2018-12-18 14:38:11
PAY000000065,ef43ddcd-624a-49bc-b54b-7fca7c91c879,CUS0006571,27.0,USD,CARD,PAID,2018-12-01 03:52:08,TXN-000000000065,2018-12-01 02:40:08
PAY000000066,6fe3e1c3-b539-4b50-b4e0-5796c464f17e,CUS0001179,0.0,USD,WALLET,CANCELLED,,TXN-000000000066,2018-11-29 03:38:08
PAY000000067,7cc57e36-2c28-4f57-b4d0-27ef76aa8678,CUS0008292,24.5,USD,BANK_TRANSFER,PAID,2018-12-17 22:24:13,TXN-000000000067,2018-12-17 21:34:13
PAY000000068,463d5cae-0f33-4217-9de0-2118f691ec9b,CUS0007162,,USD,CARD,PENDING,,TXN-000000000068,2018-12-01 03:38:06
PAY000000069,bf2c3478-cac1-43e9-8ea8-d26499203dd7,CUS0003410,34.0,USD,CARD,PAID,2018-12-18 12:27:12,TXN-000000000069,2018-12-18 11:37:12
PAY000000070,dc09cc71-1906-42ce-bd9c-f33f7414af12,CUS0002078,27.5,USD,WALLET,PAID,2018-11-26 14:27:12,TXN-000000000070,2018-11-26 13:51:12
PAY000000071,641491f5-3801-4822-bc3b-568af4410e27,CUS0003084,8.0,USD,CARD,PAID,2018-11-26 14:14:13,TXN-000000000071,2018-11-26 12:33:13
PAY000000072,9e955cf4-b006-44c9-a9a6-c2c52a159214,CUS0005204,22.5,USD,CARD,PAID,2018-12-14 03:35:11,TXN-000000000072,2018-12-14 01:42:11
PAY000000073,0a33ce73-14e5-4eef-87e5-d03ce4ee851d,CUS0008506,16.5,USD,CARD,PAID,2018-11-27 14:36:22,TXN-000000000073,2018-11-27 14:07:22
PAY000000074,ec369808-7b6d-4272-af00-66e55719c0e9,CUS0006039,9.0,USD,CARD,PAID,2018-12-17 17:43:09,TXN-000000000074,2018-12-17 17:14:09
PAY000000075,67d5490f-6703-4f9e-b8ee-98f60b5070ad,CUS0005691,,USD,CARD,PENDING,,TXN-000000000075,2018-12-01 07:40:57
PAY000000076,a497422a-faf9-43be-bfaa-3f1f198e7ef0,CUS0006931,14.0,USD,CASH,PAID,2018-11-29 03:45:21,TXN-000000000076,2018-11-29 03:04:21
PAY000000077,0402e239-ed06-43a5-88d9-a8676e4fcb37,CUS0008325,16.0,USD,WALLET,PAID,2018-11-26 17:27:09,TXN-000000000077,2018-11-26 17:22:09
PAY000000078,80cfa6c2-bec8-4fd3-9474-080921540920,CUS0004396,39.5,USD,CARD,PAID,2018-12-02 11:30:01,TXN-000000000078,2018-12-02 11:07:01
PAY000000079,72c085c6-a8cf-4647-a330-c977aea71b4e,CUS0005491,9.0,USD,CARD,PAID,2018-12-14 19:20:16,TXN-000000000079,2018-12-14 18:32:16
PAY000000080,4180f4d5-f2aa-4811-a815-08fe4c3117ed,CUS0003930,13.5,USD,WALLET,PAID,2018-11-29 05:29:37,TXN-000000000080,2018-11-29 05:29:37
PAY000000081,997b13a7-929f-44e6-b550-be9c7ee530b7,CUS0008556,9.5,USD,CARD,PAID,2018-12-15 07:32:08,TXN-000000000081,2018-12-15 05:42:08
PAY000000082,ef8c3962-bccd-4420-914f-4b0e2327407b,CUS0002533,13.5,USD,WALLET,PAID,2018-11-30 12:02:02,TXN-000000000082,2018-11-30 10:20:02
PAY000000083,3b282e78-689a-46ad-bfd7-c47aa2d489a4,CUS0001727,16.5,USD,WALLET,PAID,2018-12-04 04:15:57,TXN-000000000083,2018-12-04 03:35:57
PAY000000084,5df69bc5-88f7-4a6d-b536-5f05ca40a8e2,CUS0005982,16.0,USD,CASH,PAID,2018-11-27 01:57:14,TXN-000000000084,2018-11-27 00:09:14
PAY000000085,d029b14b-bb40-42cd-957c-bbaac30f07be,CUS0004758,27.5,USD,CARD,PAID,2018-12-17 22:33:14,TXN-000000000085,2018-12-17 22:19:14
PAY000000086,a32b0200-f72b-4cd0-82a6-6fb7a36111b7,CUS0007877,13.5,USD,CARD,PAID,2018-12-16 06:39:04,TXN-000000000086,2018-12-16 05:06:04
PAY000000087,18ea4cc7-999f-48aa-9b48-44d9e57ff6ad,CUS0001208,0.0,USD,CARD,CANCELLED,,TXN-000000000087,2018-12-14 07:10:08
PAY000000088,caef0295-511f-4da8-8a83-7609e557bca5,CUS0003292,11.0,USD,CARD,PAID,2018-12-02 22:56:58,TXN-000000000088,2018-12-02 22:18:58
PAY000000089,468e6701-87c6-47cb-a3c9-53971eb18cfc,CUS0006321,0.0,USD,CARD,CANCELLED,,TXN-000000000089,2018-12-10 00:40:27
PAY000000090,f9d2f4d9-7552-4f5a-91bc-1aa0c0a26123,CUS0001977,6.5,USD,CARD,PAID,2018-12-03 06:42:00,TXN-000000000090,2018-12-03 06:27:00
PAY000000091,74c7f76f-9379-40fd-ad6a-9b81090f3d2e,CUS0008830,5.0,USD,CARD,PAID,2018-12-03 09:29:02,TXN-000000000091,2018-12-03 08:58:02
PAY000000092,18272fd2-45d4-4039-9ea8-397c772e60db,CUS0002093,16.5,USD,CARD,PAID,2018-12-01 20:02:01,TXN-000000000092,2018-12-01 19:01:01
PAY000000093,e35e0b2b-1789-4995-86fa-596d2ae94acf,CUS0003888,26.0,USD,CARD,PAID,2018-12-14 06:14:05,TXN-000000000093,2018-12-14 04:20:05
PAY000000094,b5f0b2e7-9ddd-409d-8abf-701f03dd082a,CUS0006615,10.5,USD,WALLET,PAID,2018-11-29 00:22:09,TXN-000000000094,2018-11-29 00:23:09
PAY000000095,740da87e-0baa-4978-aa7e-80ece7aade77,CUS0003816,17.0,USD,BANK_TRANSFER,PAID,2018-12-16 14:31:03,TXN-000000000095,2018-12-16 13:11:03
PAY000000096,176de17d-a5c3-4a8e-ad38-abd042024ec7,CUS0005629,15.5,USD,CARD,PAID,2018-12-03 17:57:04,TXN-000000000096,2018-12-03 16:01:04
PAY000000097,feea4979-31c2-4b1e-9c99-13305961243f,CUS0007780,29.0,USD,CASH,PAID,2018-12-03 10:52:57,TXN-000000000097,2018-12-03 10:11:57
PAY000000098,5fa53470-72c7-421d-aac4-bba35abb6ece,CUS0000256,9.0,USD,CARD,PAID,2018-12-02 08:36:04,TXN-000000000098,2018-12-02 06:50:04
PAY000000099,b7660368-6a6f-4d20-a5ec-62de974251a5,CUS0000405,11.0,USD,CARD,PAID,2018-11-27 12:10:23,TXN-000000000099,2018-11-27 10:27:23
PAY000000100,ec712b77-6f46-4cb0-b9a1-abab4685b8e2,CUS0000384,,USD,CARD,PENDING,,TXN-000000000100,2018-11-29 18:04:02
PAY000000101,a3db5c7b-bf80-4125-aad9-345d1e7712a6,CUS0008372,7.0,USD,CASH,PAID,2018-11-28 13:49:07,TXN-000000000101,2018-11-28 12:05:07
PAY000000102,d6606bdb-e6da-46ab-a185-e6b2fb8b16a8,CUS0006342,13.5,USD,CARD,PAID,2018-12-03 17:31:01,TXN-000000000102,2018-12-03 16:09:01
PAY000000103,d885ce16-df0b-4759-846d-219318910db8,CUS0007787,28.5,USD,CARD,PAID,2018-11-29 05:09:07,TXN-000000000103,2018-11-29 04:13:07
PAY000000104,c6953bc2-a230-4664-8e47-0c214fb09349,CUS0005477,0.0,USD,CARD,CANCELLED,,TXN-000000000104,2018-12-01 02:48:07
PAY000000105,a7e3a9e4-442e-4440-bb4c-366eef918494,CUS0002887,0.0,USD,CASH,CANCELLED,,TXN-000000000105,2018-11-27 01:06:21
PAY000000106,97b948dd-8ef7-44f8-a5c6-c31e6145081e,CUS0003574,3.0,USD,CASH,PAID,2018-11-27 07:10:23,TXN-000000000106,2018-11-27 05:53:23
PAY000000107,c9da92da-1b64-40ba-8da9-02deb5604550,CUS0008183,,USD,CARD,PENDING,,TXN-000000000107,2018-11-28 18:22:07
PAY000000108,2d517db2-7664-446a-b036-56423f8d26d7,CUS0006564,0.0,USD,CARD,CANCELLED,,TXN-000000000108,2018-12-01 17:46:01
PAY000000109,3e288b9c-fc2a-4de2-b05d-dfa9759e64f4,CUS0002975,0.0,USD,CARD,CANCELLED,,TXN-000000000109,2018-12-16 16:48:13
PAY000000110,1adffccd-e97f-4d56-abf0-906eb8482e29,CUS0006912,,USD,CARD,PENDING,,TXN-000000000110,2018-12-16 07:55:11
PAY000000111,82ab615d-b741-4f38-ad15-dfe6d174de3d,CUS0006208,27.5,USD,CARD,PAID,2018-11-30 17:12:00,TXN-000000000111,2018-11-30 16:03:00
PAY000000112,40706dd5-8fdd-4619-868a-777d41c057b4,CUS0000035,27.0,USD,CASH,PAID,2018-12-15 07:35:04,TXN-000000000112,2018-12-15 06:32:04
PAY000000113,79584808-51c1-45b9-91c0-35840e59c51a,CUS0003236,16.5,USD,CARD,PAID,2018-11-26 14:46:09,TXN-000000000113,2018-11-26 14:33:09
PAY000000114,5aac603b-9d63-4993-ac59-361ca361f2df,CUS0000024,26.0,USD,CARD,PAID,2018-12-04 05:25:02,TXN-000000000114,2018-12-04 04:47:02
PAY000000115,96e2f583-97da-41a1-8797-4c4447eb28f3,CUS0004250,,USD,CARD,PENDING,,TXN-000000000115,2018-12-17 22:12:06
PAY000000116,78a03c25-4356-4cda-8a6c-a84f491cec18,CUS0003589,15.0,USD,WALLET,PAID,2018-11-29 22:46:02,TXN-000000000116,2018-11-29 20:53:02
PAY000000117,d97f1b0b-ea20-4dce-9b34-8df4d6a7e0e6,CUS0003364,22.5,USD,CARD,PAID,2018-11-27 11:38:23,TXN-000000000117,2018-11-27 10:56:23
PAY000000118,42c5f2ba-0dd4-444c-bc5e-a5d19238f4bd,CUS0002659,27.5,USD,CARD,PAID,2018-12-04 06:02:59,TXN-000000000118,2018-12-04 04:45:59
PAY000000119,3c015311-edce-45d2-9ee9-d87d86f997ea,CUS0008242,7.0,USD,CARD,PAID,2018-12-15 20:21:09,TXN-000000000119,2018-12-15 19:47:09
PAY000000120,14538a25-14ec-46af-a17d-874f0e9879b0,CUS0001525,0.0,USD,CARD,CANCELLED,,TXN-000000000120,2018-12-13 22:51:08
PAY000000121,4f13bc71-0344-4768-b814-9e2892a5b1ce,CUS0008292,9.5,USD,CARD,PAID,2018-12-17 05:24:07,TXN-000000000121,2018-12-17 04:30:07
PAY000000122,d919d04b-1f95-4ea4-b443-49d9fe811329,CUS0003270,0.0,USD,CARD,CANCELLED,,TXN-000000000122,2018-11-29 00:02:08
PAY000000123,a573ed39-99d8-4246-af9d-c2b33d30def2,CUS0000706,31.0,USD,CARD,PAID,2018-11-27 17:04:21,TXN-000000000123,2018-11-27 16:22:21
PAY000000124,f8462981-8b33-43c6-8418-86faa9f505f6,CUS0000913,7.0,USD,CARD,PAID,2018-12-15 19:25:12,TXN-000000000124,2018-12-15 18:26:12
PAY000000125,d05c7eb6-6861-42bf-b70c-765dffba3fe6,CUS0007761,15.0,USD,WALLET,PAID,2018-11-28 15:16:07,TXN-000000000125,2018-11-28 14:26:07
PAY000000126,7ac10d47-4991-4c47-8efb-bdf537bc1417,CUS0001905,34.0,USD,WALLET,PAID,2018-12-01 17:14:56,TXN-000000000126,2018-12-01 16:16:56
PAY000000127,b587990d-3cca-4a76-a369-fb20db93d95e,CUS0005163,19.0,USD,CARD,PAID,2018-11-27 10:38:21,TXN-000000000127,2018-11-27 09:26:21
PAY000000128,6d586ed6-df90-4fba-abd8-e237ca2c82eb,CUS0004043,8.5,USD,CARD,PAID,2018-11-28 21:07:08,TXN-000000000128,2018-11-28 20:08:08
PAY000000129,ed17081d-b973-4cd4-8e9b-ece08be639da,CUS0008877,19.5,USD,CASH,PAID,2018-12-17 10:29:09,TXN-000000000129,2018-12-17 09:37:09
PAY000000130,c424f2fd-124f-4eeb-b12b-9ac9cc9057f2,CUS0001788,12.0,USD,CARD,PAID,2018-11-26 22:21:09,TXN-000000000130,2018-11-26 21:59:09
PAY000000131,c2547f7a-fa2c-4498-ad63-4bd537c2b41e,CUS0005682,21.0,USD,BANK_TRANSFER,PAID,2018-12-01 08:56:03,TXN-000000000131,2018-12-01 07:36:03
PAY000000132,ed0a2344-3d53-45d0-90f6-c7f05ed0f97b,CUS0006527,16.5,USD,CASH,PAID,2018-12-18 18:03:11,TXN-000000000132,2018-12-18 16:49:11
PAY000000133,519fce0c-8088-41e7-97e9-be9df0567126,CUS0007489,29.5,USD,CARD,PAID,2018-11-28 16:27:23,TXN-000000000133,2018-11-28 15:09:23
PAY000000134,b4b53e8c-c751-4d1e-9907-1586f5b37981,CUS0000072,17.0,USD,CARD,PAID,2018-12-17 03:48:11,TXN-000000000134,2018-12-17 02:03:11
PAY000000135,0847380f-809d-48f3-99f7-c2c670ebfc56,CUS0008774,11.5,USD,CASH,PAID,2018-11-29 23:07:36,TXN-000000000135,2018-11-29 21:39:36
PAY000000136,26be97df-02e9-4e4d-ada8-7a5b1ea33a19,CUS0000921,27.5,USD,CARD,PAID,2018-11-27 18:26:22,TXN-000000000136,2018-11-27 16:55:22
PAY000000137,fe601a91-3d47-4fb2-8bf4-dd7e54d215f6,CUS0003618,10.5,USD,CARD,PAID,2018-12-14 19:41:10,TXN-000000000137,2018-12-14 19:44:10
PAY000000138,7de8aae9-4f92-4702-9bff-f610224fb6e6,CUS0007926,7.0,USD,CARD,PAID,2018-11-30 07:57:57,TXN-000000000138,2018-11-30 07:26:57
PAY000000139,e4edf1c3-dd24-49fc-8ee7-1ca7fc06690a,CUS0005673,13.5,USD,WALLET,PAID,2018-12-01 00:52:00,TXN-000000000139,2018-12-01 00:43:00
PAY000000140,24106725-a8b1-4a7c-a557-b8356f8a9aca,CUS0006710,0.0,USD,CARD,CANCELLED,,TXN-000000000140,2018-11-29 18:22:02
PAY000000141,c6f50732-85f5-43fe-9eda-bf4a74c155b8,CUS0000380,7.0,USD,CARD,PAID,2018-12-01 13:34:57,TXN-000000000141,2018-12-01 13:03:57
PAY000000142,17e98222-12b4-44a5-8a7b-3b8c8ab2c642,CUS0008645,34.0,USD,WALLET,PAID,2018-12-14 23:39:15,TXN-000000000142,2018-12-14 21:46:15
PAY000000143,4ac8ea1f-2bb6-4159-9a3d-863277849377,CUS0008924,17.0,USD,WALLET,PAID,2018-11-29 07:29:55,TXN-000000000143,2018-11-29 07:01:55
PAY000000144,dbf06d32-bb20-4200-83a3-f3edd3b1e041,CUS0003091,0.0,USD,WALLET,CANCELLED,,TXN-000000000144,2018-12-14 19:40:10
PAY000000145,bad3ebae-23d8-4981-ae3c-eaa7e44875f8,CUS0008988,0.0,USD,CASH,CANCELLED,,TXN-000000000145,2018-12-17 21:32:10
PAY000000146,2088e4a8-54ec-49e8-9515-72a9abb560d9,CUS0002798,9.5,USD,CARD,PAID,2018-12-17 05:55:09,TXN-000000000146,2018-12-17 04:53:09
PAY000000147,3c46b3eb-e4fd-4b1f-a23a-74e35b97c764,CUS0000302,55.0,USD,CARD,PAID,2018-11-27 09:24:22,TXN-000000000147,2018-11-27 07:58:22
PAY000000148,4b45c6b0-6e25-4b98-b99f-dbe6c0dd85a5,CUS0002359,,USD,CASH,PENDING,,TXN-000000000148,2018-12-18 14:43:03
PAY000000149,396c7dbb-f685-488f-ad46-c4a1c3aab358,CUS0000630,32.5,USD,CARD,PAID,2018-11-29 12:48:57,TXN-000000000149,2018-11-29 12:54:57
PAY000000150,6f1a17d1-c802-4ac5-869f-95bb3648a884,CUS0000134,5.0,USD,CASH,PAID,2018-11-28 18:19:08,TXN-000000000150,2018-11-28 18:06:08
PAY000000151,9282b4b7-4f66-4383-bc98-9c3ec1c9f9c2,CUS0003306,7.0,USD,CASH,PAID,2018-12-16 06:29:11,TXN-000000000151,2018-12-16 04:48:11
PAY000000152,e499c51d-c461-45b0-8109-799106de7289,CUS0005734,0.0,USD,CARD,CANCELLED,,TXN-000000000152,2018-12-18 15:03:07
PAY000000153,dfa568dd-693e-4144-912a-7b5e7a93f139,CUS0005502,13.5,USD,CARD,PAID,2018-11-26 15:37:10,TXN-000000000153,2018-11-26 13:48:10
PAY000000154,24759e76-2e95-40d7-bd88-762c22a2dd9e,CUS0002853,,USD,CARD,PENDING,,TXN-000000000154,2018-12-18 10:54:09
PAY000000155,aaa5dc83-5ec5-441d-b9d1-86070c687217,CUS0007148,,USD,WALLET,PENDING,,TXN-000000000155,2018-12-16 14:59:05
PAY000000156,4e92a9c2-beb7-4c99-a4de-b5428386356c,CUS0002251,0.0,USD,CARD,CANCELLED,,TXN-000000000156,2018-12-16 13:45:12
