vendor_id,pickup_at,dropoff_at,passenger_count,trip_distance,rate_code_id,store_and_fwd_flag,pickup_location_id,dropoff_location_id,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee,cbd_congestion_fee
"Curb Mobility, LLC",2025-01-28T23:08:32Z,2025-01-28T23:19:17Z,,2.54,Unknown Ratecode,,Manhattan (Financial District North),Manhattan (Alphabet City),Flex Fare trip,10.89,0.0,0.5,0.0,0.0,1.0,15.64,,,0.75
"Curb Mobility, LLC",2025-01-11T23:54:26Z,2025-01-12T00:01:19Z,,1.14,Unknown Ratecode,,Manhattan (Union Sq),Manhattan (Penn Station/Madison Sq West),Flex Fare trip,7.47,0.0,0.5,0.0,0.0,1.0,12.22,,,0.75
"Curb Mobility, LLC",2025-01-17T08:04:02Z,2025-01-17T08:16:55Z,1.0,3.63,Standard rate,N,Manhattan (Yorkville West),Manhattan (Kips Bay),Credit card,19.8,0.0,0.5,4.91,0.0,1.0,29.46,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-02T16:14:13Z,2025-01-02T16:50:15Z,1.0,3.53,Standard rate,N,Manhattan (Little Italy/NoLiTa),Manhattan (Times Sq/Theatre District),Credit card,31.7,2.5,0.5,7.64,0.0,1.0,45.84,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-04T20:08:21Z,2025-01-04T20:15:07Z,1.0,1.28,Standard rate,N,Manhattan (Lenox Hill West),Manhattan (UN/Turtle Bay South),Credit card,8.6,1.0,0.5,2.72,0.0,1.0,16.32,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-25T10:14:02Z,2025-01-25T10:55:11Z,2.0,18.48,JFK,N,Queens (JFK Airport),Manhattan (Clinton East),Credit card,70.0,0.0,0.5,14.95,0.0,1.0,91.45,2.5,1.75,0.75
"Curb Mobility, LLC",2025-01-03T19:20:06Z,2025-01-03T19:25:04Z,5.0,0.64,Standard rate,N,Manhattan (Upper East Side North),Manhattan (Upper East Side North),Credit card,6.5,2.5,0.5,1.95,0.0,1.0,14.95,2.5,0.0,0.0
"Creative Mobile Technologies, LLC",2025-01-07T15:38:08Z,2025-01-07T15:55:20Z,0.0,3.0,Standard rate,N,Manhattan (Upper West Side North),Manhattan (Hamilton Heights),Credit card,18.4,2.5,0.5,5.55,0.0,1.0,27.95,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-10T16:19:48Z,2025-01-10T17:22:31Z,1.0,20.93,Standard rate,N,Queens (JFK Airport),Bronx (Highbridge),Cash,85.6,0.0,0.5,0.0,6.94,1.0,95.79,0.0,1.75,0.0
"Curb Mobility, LLC",2025-01-17T15:34:30Z,2025-01-17T15:53:44Z,1.0,2.42,Standard rate,N,Manhattan (Times Sq/Theatre District),Manhattan (Yorkville West),Credit card,18.4,0.0,0.5,4.48,0.0,1.0,27.63,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-31T12:40:21Z,2025-01-31T12:46:15Z,1.0,0.58,Standard rate,N,Manhattan (Central Park),Manhattan (Upper East Side South),Credit card,7.2,0.0,0.5,2.24,0.0,1.0,13.44,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-23T20:06:44Z,2025-01-23T20:26:37Z,,3.06,Unknown Ratecode,,Manhattan (Union Sq),Manhattan (Battery Park City),Flex Fare trip,20.29,0.0,0.5,0.0,0.0,1.0,25.04,,,0.75
"Curb Mobility, LLC",2025-01-17T07:35:46Z,2025-01-17T07:45:29Z,1.0,1.69,Standard rate,N,Manhattan (Upper East Side South),Manhattan (Upper West Side South),Credit card,11.4,0.0,0.5,4.62,0.0,1.0,20.02,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-22T22:56:05Z,2025-01-22T23:06:50Z,1.0,2.06,Standard rate,N,Manhattan (Midtown Center),Manhattan (Greenwich Village South),Credit card,12.1,1.0,0.5,4.46,0.0,1.0,22.31,2.5,0.0,0.75
"Creative Mobile Technologies, LLC",2025-01-19T11:17:57Z,2025-01-19T11:44:35Z,1.0,15.9,JFK,N,Manhattan (Murray Hill),Queens (JFK Airport),Credit card,70.0,3.25,0.5,10.0,6.94,1.0,91.69,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-08T18:47:13Z,2025-01-08T19:05:18Z,,2.88,Unknown Ratecode,,Manhattan (Union Sq),Manhattan (Two Bridges/Seward Park),Flex Fare trip,-4.75,0.0,0.5,0.0,0.0,1.0,4.84,,,0.75
"Curb Mobility, LLC",2025-01-28T10:50:41Z,2025-01-28T11:03:15Z,1.0,1.93,Standard rate,N,Manhattan (Lenox Hill West),Manhattan (Upper West Side North),Credit card,13.5,0.0,0.5,3.15,0.0,1.0,20.65,2.5,0.0,0.0
"Creative Mobile Technologies, LLC",2025-01-17T15:11:12Z,2025-01-17T15:23:02Z,,1.4,Unknown Ratecode,,Manhattan (Central Harlem North),Manhattan (Morningside Heights),Flex Fare trip,11.43,0.0,0.5,0.0,0.0,1.0,12.93,,,0.0
"Curb Mobility, LLC",2025-01-05T20:43:20Z,2025-01-05T20:46:58Z,1.0,0.53,Standard rate,N,Manhattan (Union Sq),Manhattan (Flatiron),Credit card,5.8,1.0,0.5,2.31,0.0,1.0,13.86,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-07T06:34:09Z,2025-01-07T06:44:19Z,,1.84,Unknown Ratecode,,Manhattan (Murray Hill),Manhattan (Clinton East),Flex Fare trip,12.07,0.0,0.5,0.0,0.0,1.0,16.82,,,0.75
"Creative Mobile Technologies, LLC",2025-01-29T13:37:20Z,2025-01-29T13:53:02Z,1.0,1.8,Standard rate,N,Manhattan (Upper East Side North),Manhattan (Sutton Place/Turtle Bay North),Credit card,13.5,3.25,0.5,3.65,0.0,1.0,21.9,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-18T19:31:55Z,2025-01-18T19:44:19Z,4.0,2.85,Standard rate,N,Manhattan (TriBeCa/Civic Center),Manhattan (Garment District),Credit card,14.9,0.0,0.5,0.0,0.0,1.0,19.65,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-16T11:55:25Z,2025-01-16T12:14:37Z,1.0,1.53,Standard rate,N,Manhattan (Lincoln Square East),Manhattan (Sutton Place/Turtle Bay North),Credit card,17.0,0.0,0.5,5.44,0.0,1.0,27.19,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-08T18:07:29Z,2025-01-08T18:33:10Z,2.0,2.54,Standard rate,N,Manhattan (East Chelsea),Manhattan (East Village),Credit card,22.6,2.5,0.5,5.97,0.0,1.0,35.82,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-14T17:36:57Z,2025-01-14T17:58:22Z,1.0,2.26,Standard rate,N,Manhattan (Upper East Side North),Manhattan (Midtown Center),Credit card,19.8,2.5,0.5,6.76,0.0,1.0,33.81,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-20T12:33:31Z,2025-01-20T12:42:13Z,1.0,1.31,Standard rate,N,Manhattan (Central Park),Manhattan (Midtown Center),Credit card,10.0,0.0,0.5,2.95,0.0,1.0,17.7,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-24T09:11:51Z,2025-01-24T09:37:09Z,1.0,1.65,Standard rate,N,Manhattan (Midtown Center),Manhattan (Lenox Hill East),Credit card,21.9,0.0,0.5,5.33,0.0,1.0,31.98,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-21T12:01:55Z,2025-01-21T12:22:24Z,1.0,6.8,Standard rate,N,Queens (LaGuardia Airport),Brooklyn (East Williamsburg),Cash,31.7,5.0,0.5,0.0,0.0,1.0,39.95,0.0,1.75,0.0
"Curb Mobility, LLC",2025-01-03T13:19:55Z,2025-01-03T13:38:36Z,1.0,2.73,Standard rate,N,Manhattan (Flatiron),Manhattan (Upper East Side South),Credit card,18.4,0.0,0.5,4.0,0.0,1.0,26.4,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-22T09:17:09Z,2025-01-22T09:28:24Z,3.0,0.85,Standard rate,N,Manhattan (Midtown Center),Manhattan (Midtown North),Credit card,10.7,0.0,0.5,3.09,0.0,1.0,18.54,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-11T01:04:20Z,2025-01-11T01:11:04Z,1.0,0.74,Standard rate,N,Manhattan (Meatpacking/West Village West),Manhattan (West Village),Credit card,7.9,1.0,0.5,2.0,0.0,1.0,15.65,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-02T15:54:11Z,2025-01-02T16:10:53Z,4.0,2.37,Standard rate,N,Manhattan (Lincoln Square East),Manhattan (Lenox Hill East),Cash,17.0,0.0,0.5,0.0,0.0,1.0,21.0,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-17T18:17:58Z,2025-01-17T18:36:12Z,,0.0,Unknown Ratecode,,Manhattan (West Chelsea/Hudson Yards),Manhattan (UN/Turtle Bay South),Flex Fare trip,15.29,0.0,0.5,0.0,0.0,1.0,20.04,,,0.75
"Creative Mobile Technologies, LLC",2025-01-16T18:35:37Z,2025-01-16T18:45:53Z,1.0,1.5,Standard rate,N,Manhattan (Lincoln Square East),Manhattan (Upper East Side South),Credit card,10.7,5.75,0.5,3.59,0.0,1.0,21.54,2.5,0.0,0.75
"Creative Mobile Technologies, LLC",2025-01-12T05:55:41Z,2025-01-12T06:00:35Z,1.0,1.1,Standard rate,N,Manhattan (Sutton Place/Turtle Bay North),Manhattan (Lenox Hill East),Credit card,7.9,4.25,0.5,3.0,0.0,1.0,16.65,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-31T19:18:00Z,2025-01-31T19:30:28Z,,0.0,Unknown Ratecode,,Manhattan (Midtown Center),Manhattan (Upper East Side South),Flex Fare trip,-4.75,0.0,0.5,0.0,0.0,1.0,3.56,,,0.75
"Curb Mobility, LLC",2025-01-24T17:46:30Z,2025-01-24T17:52:40Z,2.0,1.04,Standard rate,N,Manhattan (East Chelsea),Manhattan (West Village),Credit card,7.9,2.5,0.5,0.0,0.0,1.0,15.15,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-15T09:09:21Z,2025-01-15T09:16:24Z,1.0,1.28,Standard rate,N,Manhattan (Lenox Hill West),Manhattan (Midtown North),Cash,8.6,0.0,0.5,0.0,0.0,1.0,12.6,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-14T18:03:14Z,2025-01-14T18:32:30Z,1.0,10.39,Standard rate,N,Queens (LaGuardia Airport),Manhattan (Lincoln Square East),Credit card,45.7,7.5,0.5,12.83,6.94,1.0,78.72,2.5,1.75,0.0
"Creative Mobile Technologies, LLC",2025-01-21T08:15:32Z,2025-01-21T08:48:56Z,,7.4,Unknown Ratecode,,Manhattan (Morningside Heights),Queens (LaGuardia Airport),Flex Fare trip,33.8,0.0,0.5,0.0,6.94,1.0,42.24,,,0.0
"Curb Mobility, LLC",2025-01-14T16:12:25Z,2025-01-14T16:15:05Z,1.0,0.39,Standard rate,N,Manhattan (Times Sq/Theatre District),Manhattan (Midtown Center),Credit card,4.4,2.5,0.5,3.5,0.0,1.0,15.15,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-11T15:06:14Z,2025-01-11T15:27:45Z,2.0,3.89,Standard rate,N,Manhattan (Meatpacking/West Village West),Manhattan (Upper West Side South),Credit card,24.7,0.0,0.5,0.0,0.0,1.0,29.45,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-07T22:37:02Z,2025-01-07T22:54:45Z,1.0,6.75,Standard rate,N,Queens (LaGuardia Airport),Manhattan (Upper East Side South),Credit card,28.2,6.0,0.5,7.79,0.0,1.0,48.49,2.5,1.75,0.75
"Curb Mobility, LLC",2025-01-23T15:28:05Z,2025-01-23T16:05:04Z,,4.86,Unknown Ratecode,,Queens (Queensbridge/Ravenswood),Manhattan (Upper West Side North),Flex Fare trip,39.48,0.0,0.5,7.96,0.0,1.0,52.19,,,0.75
"Curb Mobility, LLC",2025-01-11T16:34:45Z,2025-01-11T16:56:20Z,1.0,2.21,Standard rate,N,Manhattan (Murray Hill),Manhattan (Lincoln Square East),Credit card,19.8,0.0,0.5,4.91,0.0,1.0,29.46,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-26T08:21:10Z,2025-01-26T08:21:22Z,1.0,0.0,Negotiated fare,N,Manhattan (Midtown South),Manhattan (Midtown South),Credit card,87.0,0.0,0.0,18.25,0.0,1.0,109.5,2.5,0.0,0.75
"Creative Mobile Technologies, LLC",2025-01-24T16:49:20Z,2025-01-24T17:06:42Z,1.0,2.7,Standard rate,N,Manhattan (Battery Park City),Manhattan (Lower East Side),Credit card,18.4,5.75,0.5,5.15,0.0,1.0,30.8,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-31T20:33:25Z,2025-01-31T20:47:23Z,1.0,1.62,Standard rate,N,Manhattan (Gramercy),Manhattan (West Village),Credit card,13.5,1.0,0.5,3.85,0.0,1.0,23.1,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-06T21:42:13Z,2025-01-06T21:59:39Z,1.0,9.15,Standard rate,N,Queens (LaGuardia Airport),Manhattan (Stuy Town/Peter Cooper Village),Credit card,35.2,6.0,0.5,13.22,6.94,1.0,67.86,2.5,1.75,0.75
"Curb Mobility, LLC",2025-01-24T15:09:59Z,2025-01-24T15:25:04Z,1.0,1.21,Standard rate,N,Manhattan (Sutton Place/Turtle Bay North),Manhattan (Murray Hill),Cash,13.5,0.0,0.5,0.0,0.0,1.0,18.25,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-02T11:46:51Z,2025-01-02T11:55:44Z,1.0,1.66,Standard rate,N,Manhattan (Clinton West),Manhattan (Upper West Side South),Cash,12.1,0.0,0.5,0.0,0.0,1.0,16.1,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-29T20:21:45Z,2025-01-29T20:35:26Z,2.0,1.65,Standard rate,N,Manhattan (Financial District North),Manhattan (East Village),Credit card,13.5,1.0,0.5,2.0,0.0,1.0,21.25,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-08T16:04:44Z,2025-01-08T16:14:01Z,1.0,1.4,Standard rate,N,Manhattan (Upper East Side South),Manhattan (Upper West Side North),Credit card,10.7,2.5,0.5,3.44,0.0,1.0,20.64,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-21T11:31:21Z,2025-01-21T11:44:23Z,1.0,0.99,Standard rate,N,Manhattan (Upper East Side South),Manhattan (Lenox Hill East),Credit card,12.1,0.0,0.5,3.22,0.0,1.0,19.32,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-20T12:45:00Z,2025-01-20T12:53:11Z,1.0,0.78,Standard rate,N,Manhattan (Yorkville West),Manhattan (Upper East Side North),Credit card,8.6,0.0,0.5,0.01,0.0,1.0,12.61,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-17T19:05:53Z,2025-01-17T19:15:02Z,1.0,1.57,Standard rate,N,Manhattan (Upper East Side North),Manhattan (East Harlem North),Credit card,10.7,2.5,0.5,3.44,0.0,1.0,20.64,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-29T20:49:03Z,2025-01-29T21:00:44Z,1.0,1.66,Standard rate,N,Brooklyn (Brooklyn Heights),Brooklyn (Park Slope),Credit card,12.1,1.0,0.5,2.92,0.0,1.0,17.52,0.0,0.0,0.0
"Curb Mobility, LLC",2025-01-08T10:54:28Z,2025-01-08T11:12:33Z,1.0,1.78,Standard rate,N,Manhattan (East Chelsea),Manhattan (Midtown North),Credit card,17.0,0.0,0.5,5.44,0.0,1.0,27.19,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-18T17:34:51Z,2025-01-18T18:01:22Z,1.0,3.93,Standard rate,N,Manhattan (Central Park),Manhattan (Greenwich Village South),Credit card,24.7,0.0,0.5,5.89,0.0,1.0,35.34,2.5,0.0,0.75
"Creative Mobile Technologies, LLC",2025-01-19T16:22:47Z,2025-01-19T16:37:15Z,1.0,2.8,Standard rate,N,Manhattan (West Village),Manhattan (Financial District North),Credit card,14.2,3.25,0.5,3.8,0.0,1.0,22.75,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-18T22:15:55Z,2025-01-18T22:23:03Z,2.0,1.04,Standard rate,N,Manhattan (Midtown Center),Manhattan (Union Sq),Credit card,7.9,1.0,0.5,2.73,0.0,1.0,16.38,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-28T13:38:27Z,2025-01-28T13:48:21Z,1.0,1.08,Standard rate,N,Manhattan (Midtown East),Manhattan (Murray Hill),Credit card,10.7,0.0,0.5,2.32,0.0,1.0,17.77,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-26T13:11:33Z,2025-01-26T13:22:47Z,2.0,1.69,Standard rate,N,Manhattan (Lincoln Square East),Manhattan (Upper West Side North),Credit card,12.8,0.0,0.5,3.36,0.0,1.0,20.16,2.5,0.0,0.0
"Creative Mobile Technologies, LLC",2025-01-15T10:36:55Z,2025-01-15T10:58:43Z,1.0,2.3,Standard rate,N,Manhattan (Midtown Center),Manhattan (Upper East Side North),Cash,19.8,3.25,0.5,0.0,0.0,1.0,24.55,2.5,0.0,0.75
